type,date,latitude,longitude,gender,age_range,self_defined_ethnicity,officer_defined_ethnicity,legislation,object_of_search,outcome,outcome_linked_to_object_of_search,source_month,year,month,time,has_location
Person search,2024-09-01 18:27:00+00:00,54.466156,-1.093293,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,18,True
Person and Vehicle search,2024-09-01 23:47:00+00:00,53.957537,-1.083087,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,23,True
Person and Vehicle search,2024-09-02 11:48:00+00:00,53.777454,-1.080127,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,11,True
Person and Vehicle search,2024-09-02 11:48:00+00:00,53.777454,-1.080127,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,11,True
Person and Vehicle search,2024-09-02 14:52:00+00:00,54.466156,-1.093293,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,14,True
Person search,2024-09-03 11:49:00+00:00,54.290679,-0.410107,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,A no further action disposal,Yes,2024-09,2024,9,11,True
Person search,2024-09-03 20:26:00+00:00,54.277667,-0.409609,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-09,2024,9,20,True
Person search,2024-09-05 11:40:00+00:00,53.984095,-1.551219,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Khat or Cannabis warning,Yes,2024-09,2024,9,11,True
Person search,2024-09-05 14:26:00+00:00,54.245698,-0.790681,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,14,True
Person search,2024-09-05 21:58:00+00:00,53.784722,-1.069252,Female,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-09,2024,9,21,True
Person and Vehicle search,2024-09-06 21:49:00+00:00,54.459495,-0.578146,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,21,True
Person and Vehicle search,2024-09-06 21:49:00+00:00,54.459495,-0.578146,Female,10-17,Not Specified,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,21,True
Person search,2024-09-06 21:51:00+00:00,53.971665,-1.493836,Male,25-34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-09,2024,9,21,True
Person search,2024-09-06 23:11:00+00:00,53.971665,-1.493836,Male,over 34,Not Specified,Asian,Misuse of Drugs Act 1971 (section 23),Controlled drugs,A no further action disposal,Yes,2024-09,2024,9,23,True
Person search,2024-09-07 05:51:00+00:00,53.95728,-1.082376,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-09,2024,9,5,True
Person search,2024-09-07 13:47:00+00:00,54.231267,-1.352553,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,13,True
Person search,2024-09-08 10:45:00+00:00,54.277667,-0.409609,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Arrest,Yes,2024-09,2024,9,10,True
Person search,2024-09-11 00:06:00+00:00,53.983943,-1.523421,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,0,True
Person search,2024-09-11 00:08:00+00:00,53.983943,-1.523421,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,0,True
Person search,2024-09-11 00:59:00+00:00,53.94599,-1.3562,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-09,2024,9,0,True
Person and Vehicle search,2024-09-11 07:13:00+00:00,54.007534,-1.467277,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,7,True
Person and Vehicle search,2024-09-11 13:21:00+00:00,54.039392,-1.452394,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,13,True
Person and Vehicle search,2024-09-11 13:21:00+00:00,54.039392,-1.452394,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,13,True
Person and Vehicle search,2024-09-11 13:21:00+00:00,54.039392,-1.452394,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,13,True
Person and Vehicle search,2024-09-11 17:26:00+00:00,54.255454,-0.417649,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,17,True
Person search,2024-09-11 23:40:00+00:00,54.488965,-0.620674,Male,25-34,Asian/Asian British - Any other Asian background,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Offensive weapons,Not Specified,No,2024-09,2024,9,23,True
Person search,2024-09-12 16:05:00+00:00,54.282662,-0.400615,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2024-09,2024,9,16,True
Person search,2024-09-12 17:25:00+00:00,54.343854,-1.435297,Male,18-24,Not Specified,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,17,True
Person and Vehicle search,2024-09-15 18:33:00+00:00,53.989937,-1.024021,Male,25-34,Other ethnic group - Not stated,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Summons / charged by post,Yes,2024-09,2024,9,18,True
Person search,2024-09-15 18:56:00+00:00,53.989937,-1.024021,Male,25-34,Not Specified,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,18,True
Person search,2024-09-15 19:47:00+00:00,54.534053,-0.753768,Male,over 34,Other ethnic group - Not stated,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,19,True
Person search,2024-09-16 18:52:00+00:00,53.988209,-1.076633,Male,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,18,True
Person and Vehicle search,2024-09-17 10:29:00+00:00,53.989937,-1.024021,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,10,True
Person search,2024-09-17 12:35:00+00:00,53.989937,-1.024021,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,12,True
Person search,2024-09-17 17:41:00+00:00,53.963813,-1.085693,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,17,True
Person search,2024-09-18 17:06:00+00:00,54.271981,-0.403808,Male,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,17,True
Person search,2024-09-18 17:06:00+00:00,54.271981,-0.403808,Female,25-34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,17,True
Person search,2024-09-18 17:06:00+00:00,54.271981,-0.403808,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Not Specified,Not Specified,No,2024-09,2024,9,17,True
Person search,2024-09-18 21:04:00+00:00,53.955888,-1.078993,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,21,True
Person search,2024-09-19 13:27:00+00:00,53.956569,-1.08224,Female,10-17,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Stolen goods,Not Specified,No,2024-09,2024,9,13,True
Person search,2024-09-19 17:33:00+00:00,54.281051,-0.403647,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,Not Specified,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Arrest,Yes,2024-09,2024,9,17,True
Person search,2024-09-20 15:37:00+00:00,53.852759,-1.349605,Male,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Community resolution,Yes,2024-09,2024,9,15,True
Person and Vehicle search,2024-09-20 21:56:00+00:00,53.974701,-1.075575,Female,over 34,White - English/Welsh/Scottish/Northern Irish/British,White,Police and Criminal Evidence Act 1984 (section 1),Article for use in theft,Not Specified,No,2024-09,2024,9,21,True
Person search,2024-09-22 18:42:00+00:00,54.487541,-0.634212,Male,18-24,White - English/Welsh/Scottish/Northern Irish/British,White,Misuse of Drugs Act 1971 (section 23),Controlled drugs,Not Specified,No,2024-09,2024,9,18,True
